ts,source,step,exe,cmdline,user,pid,src_ip,src_port,dst_ip,dst_port,proto,excerpt,source_file
2025-12-10 09:43:20.600,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:43:20.717,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.375,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.422,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.440,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.455,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.480,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.489,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.591,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:02.681,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.060,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.093,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.180,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.356,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.455,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.504,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.535,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.647,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.839,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.849,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.874,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:03.896,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:11.104,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:11.124,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:11.881,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:12.212,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:12.296,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:12.448,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:27.898,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:28.042,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:28.243,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:28.423,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:28.489,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:28.559,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:28.611,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:29.231,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:29.368,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:29.385,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:29.456,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:29.758,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:29.942,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:30.070,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:30.134,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:30.173,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:30.184,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
2025-12-10 09:45:30.645,azure_events,INSTALL,,,NT AUTHORITY\SYSTEM,,,,,,,,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/azure_events.csv
